Work package number,Work package title,Objective,Progress per work package,Progress per action,Action number,Action text / scope,Source action grouping,Next steps per action,Source page(s)
WP1,Peace Operations,To adapt peace operations to the evolving nature of conflict and move to more networked multi-dimensional approaches.,"The peace operations review will be finalized shortly. It has drawn on extensive consultations with Member States, missions, UN system entities, civil society and independent experts, including written submissions from 47 Member States. This process also included engagement with the General Assembly, the Security Council and relevant subsidiary organs. In the framework of the review, a task force is now developing a concept and roadmap on how to delegate the delivery of relevant programmatic tasks to entities best placed to deliver them, alongside the associated resources.","The peace operations review will be finalized shortly. It has drawn on extensive consultations with Member States, missions, UN system entities, civil society and independent experts, including written submissions from 47 Member States. This process also included engagement with the General Assembly, the Security Council and relevant subsidiary organs.",Action 15,Conduct a comprehensive review of the future of United Nations peace operations and present proposals for a reset for Member State consideration.,Action 15,The Secretary-General's peace operations review will be presented for the consideration of the General Assembly and the Security Council in June.,p. 5
WP1,Peace Operations,To adapt peace operations to the evolving nature of conflict and move to more networked multi-dimensional approaches.,"The peace operations review will be finalized shortly. It has drawn on extensive consultations with Member States, missions, UN system entities, civil society and independent experts, including written submissions from 47 Member States. This process also included engagement with the General Assembly, the Security Council and relevant subsidiary organs. In the framework of the review, a task force is now developing a concept and roadmap on how to delegate the delivery of relevant programmatic tasks to entities best placed to deliver them, alongside the associated resources.","A task force is developing a concept and roadmap on how to delegate the delivery of relevant programmatic tasks to entities best placed to deliver them, alongside the associated resources.",Action 14,"Develop practical proposals for delegating delivery of relevant programmatic tasks, with associated resources, to the best placed UN system entities.",Action 14,The concept and roadmap will be finalized and submitted to the Secretary-General in June. An update will be provided to Member States through a Secretary-General's information brief in July. No decision of an intergovernmental organ is envisaged at this stage.,p. 5
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Implementation of the consolidation and streamlining of key functions and positions approved by Member States in A/RES/80/242 is ongoing.,Action 1,Streamline and consolidate structures in DPPA and DPO.,"Actions 1, 2, 6, 7, 11",Implementation of those actions approved by A/RES/80/242 is ongoing throughout 2026. No further decision by an intergovernmental organ is envisaged.,pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Implementation of the consolidation and streamlining of key functions and positions approved by Member States in A/RES/80/242 is ongoing.,Action 2,Streamline and consolidate structures in DPPA and DPO.,"Actions 1, 2, 6, 7, 11",Implementation of those actions approved by A/RES/80/242 is ongoing throughout 2026. No further decision by an intergovernmental organ is envisaged.,pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Implementation of the consolidation and streamlining of key functions and positions approved by Member States in A/RES/80/242 is ongoing.,Action 6,Streamline and consolidate structures in DPPA and DPO.,"Actions 1, 2, 6, 7, 11",Implementation of those actions approved by A/RES/80/242 is ongoing throughout 2026. No further decision by an intergovernmental organ is envisaged.,pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Implementation of the consolidation and streamlining of key functions and positions approved by Member States in A/RES/80/242 is ongoing.,Action 7,Streamline and consolidate structures in DPPA and DPO.,"Actions 1, 2, 6, 7, 11",Implementation of those actions approved by A/RES/80/242 is ongoing throughout 2026. No further decision by an intergovernmental organ is envisaged.,pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Implementation of the consolidation and streamlining of key functions and positions approved by Member States in A/RES/80/242 is ongoing. Coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID.,Action 11,Streamline and consolidate structures in DPPA and DPO.,"Actions 1, 2, 6, 7, 11",Implementation of those actions approved by A/RES/80/242 is ongoing throughout 2026. No further decision by an intergovernmental organ is envisaged.,pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",DPPA and DPO have strengthened mechanisms at different levels within the Departments dealing with cross-cutting functions.,Action 3,Establish a mechanism to link cross-cutting functions.,Action 3,Coordination meetings will continue between DPPA and DPO to strengthen mechanisms to link cross-cutting functions. No decision by an intergovernmental organ is envisaged.,pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.","As per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY.",Action 8,Integrate UNMHA into OSESGY.,Action 8,"Following the closure of UNMHA in March, OSESGY will assume its residual functions, and its liquidation process will be finalized. No further decision by an intergovernmental organ is envisaged.",pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",n/a,Action 9,Streamline and align UNOCA and the Office of the Special Envoy for the Great Lakes.,Action 9,"A Secretary-General's report will be submitted in May, following which a Security Council decision would be required to align UNOCA and the Office of the Special Envoy for the Great Lakes.",pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID.,Action 10,Streamline and align the Office of the Special Adviser on Cyprus with UNFICYP.,Action 10,"Following the abolishment of the post of Special Adviser on Cyprus (A/RES/80/242), the functions have been carried out by DPPA.",pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.","A criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Action 49,Host regional PDAs in Regional Commissions and integrate PDA support in relevant RCOs.,"Actions 49, 58","PDAs will be deployed to support conflict prevention activities, subject to funding availability and following criticality assessment. No decision by an intergovernmental organ is envisaged.",pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.","A criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Action 58,Host regional PDAs in Regional Commissions and integrate PDA support in relevant RCOs.,"Actions 49, 58","PDAs will be deployed to support conflict prevention activities, subject to funding availability and following criticality assessment. No decision by an intergovernmental organ is envisaged.",pp. 6-7
WP22,"Prevention, Peacebuilding and Peace Support","To build a leaner, more agile and field-oriented peace and security pillar, prioritizing prevention, advancing peacebuilding and political solutions and delivering joined-up impact.","The implementation of the consolidation and streamlining of key functions and positions that were approved by Member States in A/RES/80/242 is ongoing. With regard to Action 3, DPPA and DPO have strengthened a range of mechanisms at different levels within the Departments dealing with cross-cutting functions. On Action 8, as per S/RES/2813, the Security Council has closed the mandate of UNMHA and requested the Secretary-General to prepare a plan to start the transfer of its residual functions to OSESGY. On Actions 10 and 11, coordination and mapping exercises are advancing to strengthen capacity management of UNFICYP and UNRGID. On Actions 49, 55 and 58, a criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.","A criticality assessment is regularly conducted by DPPA, UNDP and DCO to determine countries where PDAs are posted, subject to funding availability.",Action 55,"Align surge capacity for peace and security, rule of law, DDR, SSR, small arms control, transitions and prevention of extremist violence.",Action 55,A comprehensive mapping of PBPSO surge capacities will be completed and reflected in a Secretary-General's information brief in July. No decision by an intergovernmental organ is envisaged at this stage.,pp. 6-7
WP23,Disarmament,To improve the accessibility and impact of disarmament analysis and expertise.,"A joint task force has been established. Initial recommendations to ensure strategic alignment and integrated approaches between UNIDIR and ODA are being prepared. Consultations are ongoing, including informal conversations with Member States and the UNIDIR Board of Trustees. The co-location of disarmament centres with Regional Commissions is under examination in the context of the Regional Reset (Work Package 6).","A joint task force has been established. Initial recommendations to ensure strategic alignment and integrated approaches between UNIDIR and ODA are being prepared. Consultations are ongoing, including informal conversations with Member States and the UNIDIR Board of Trustees.",Action 5,"Integrate UNIDIR into ODA, while preserving its research independence, to ensure its analysis informs negotiations and field support more effectively.",Action 5,"Recommendations will be submitted to the Secretary-General by July, following a UNIDIR Board of Trustees meeting in June. The Secretary-General will consider the submission of a report to the General Assembly, including proposals.",p. 8
WP23,Disarmament,To improve the accessibility and impact of disarmament analysis and expertise.,"A joint task force has been established. Initial recommendations to ensure strategic alignment and integrated approaches between UNIDIR and ODA are being prepared. Consultations are ongoing, including informal conversations with Member States and the UNIDIR Board of Trustees. The co-location of disarmament centres with Regional Commissions is under examination in the context of the Regional Reset (Work Package 6).",The co-location of disarmament centres with Regional Commissions is under examination in the context of the Regional Reset (Work Package 6).,Action 53,Co-locate regional disarmament centres with Regional Commissions.,Action 53,"Proposals for co-location arrangements of the regional disarmament centres with Regional Commissions will be developed in the context of the Regional Reset (Work Package 6), with the possibility of inclusion in the Proposed Programme Budget for 2028.",p. 8
WP24,"Drugs, Crime, Counter-Terrorism","To make UN support to Member States on drugs, crime and counter-terrorism more coherent and effective.","For the proposed integration of UNICRI into UNODC, consultations are under way, including with Member States and the UNICRI Board. For Action 12, proposals have been developed to reinforce cooperation under the Global Counter-Terrorism Coordination Compact. For Action 13, a Secretary-General memorandum is being drafted on reporting lines of the Chief of the Terrorism Prevention Branch in UNODC to the Under-Secretary-General of OCT.","Consultations on the proposed integration of UNICRI into UNODC are under way, including with Member States and the UNICRI Board.",Action 4,"Integrate UNICRI into UNODC while preserving its research independence, to better connect work on crime prevention, criminal justice and related areas.",Action 4,"An initial integration proposal is expected by May, followed by further consultations, including with the UNICRI Board and Member States, through June. The integration will then be considered by CCPCJ in June and by ECOSOC in July. Further to ECOSOC consideration, the Secretary-General would submit, in the Proposed Programme Budget for 2028 regarding UNODC, the detailed arrangements for the integration, for decision by the General Assembly.",p. 9
WP24,"Drugs, Crime, Counter-Terrorism","To make UN support to Member States on drugs, crime and counter-terrorism more coherent and effective.","For the proposed integration of UNICRI into UNODC, consultations are under way, including with Member States and the UNICRI Board. For Action 12, proposals have been developed to reinforce cooperation under the Global Counter-Terrorism Coordination Compact. For Action 13, a Secretary-General memorandum is being drafted on reporting lines of the Chief of the Terrorism Prevention Branch in UNODC to the Under-Secretary-General of OCT.",Proposals have been developed to reinforce cooperation under the Global Counter-Terrorism Coordination Compact.,Action 12,Reinforce cooperation on counter-terrorism and violent extremism through joint planning and resource mobilization.,Action 12,"Proposals to reinforce cooperation on counter-terrorism will be finalized by the Global Counter-Terrorism Coordination Compact Committee in May, for consideration by the Secretary-General in June. No decision of an intergovernmental organ is envisaged.",p. 9
WP24,"Drugs, Crime, Counter-Terrorism","To make UN support to Member States on drugs, crime and counter-terrorism more coherent and effective.","For the proposed integration of UNICRI into UNODC, consultations are under way, including with Member States and the UNICRI Board. For Action 12, proposals have been developed to reinforce cooperation under the Global Counter-Terrorism Coordination Compact. For Action 13, a Secretary-General memorandum is being drafted on reporting lines of the Chief of the Terrorism Prevention Branch in UNODC to the Under-Secretary-General of OCT.",A Secretary-General memorandum is being drafted on reporting lines of the Chief of the Terrorism Prevention Branch in UNODC to the Under-Secretary-General of OCT.,Action 13,Establish a reporting line from UNODC's Terrorism Prevention Branch to OCT contributing to better coordination on counter-terrorism.,Action 13,The Secretary-General will take a decision on the reporting lines.,p. 9
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.","Humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent.",Action 16,"Simplify humanitarian planning so that Needs and Response Plans are shorter, clearer and more focused on priorities and results.",Action 16,"Simplified Humanitarian Needs and Response Plans will continue to be rolled out in 2026, with consistent application of the streamlined approach. Updated plans will be available online as they are issued. No decision of an intergovernmental organ is envisaged.",pp. 10-11
