id,sub_id,work_package_id,indicative_action,indicative_sub_action,work_package_leads,Action Member(s) -- SUPERSEDE,Action Entity(s) -- GET VIA LEADS?,Milestone 1,Milestone 1 Deadline,Milestone Final,Milestone Final - Deadline,tracking_status,action_notes,upcoming_milestone,Delivery Date,work_package_title,workstream_id,Sub-Action,action_lead,Big Ticket,needs_member_state_engagement,intergovernmental_bodies,Scenario for Proposal Advancement,action_status,Legal Consideration/Implication,action_spport,document_paragraph_number,work_package_goal,document_paragraph_text,Scope Definition,un_budgets,action_updates,Milestone 2,Milestone 2 Deadline,FP Specific for WP-Level,action_members,Milestone 3,Milestone 3 Deadline
95,(e),31,"Implement residual actions from Phase II of the Working Group on Efficiencies, not to be included in or relevant for WP#14",Travel consolidation,"['USG DMSPC', 'USG DOS']","Patrick Carey; Director DOS, careyp@un.org","['DOS', 'DMSPC']",31 December 2025: Endorsement of business case by Steering Group (to be implemented in phases),2025-12-30,"No later than 31 December 2026: Phase 1 Travel Processing Office consolidation completed and operational. 

31 December 2027: Phase 2 Travel Processing Office Consolidation (Regional Hubs) established. Full operational readiness subject to implementation of new travel management company contracts/procurement process (likely through 2028)",2026-12-30,Attention to timeline,Consider earlier initial milestone; final milestone date falls outside implementation period of UN80 Initiative Action Plan,Proposals finalized for management consideration,2026-01-31,UN Secretariat efficiencies and improvement,WS1,Travel consolidation,"['USG DMSPC', 'USG DOS']",False,True,['GA'],3. Included in budget estimate,Further work ongoing,GA decision (programme budget) required.,,,,,,,,,,,,,
26,,3,Conduct a thorough assessment of the benefits of a merger between UNDP and UNOPS; analysis to be presented to the Executive Boards in February 2026,,"['DSG', 'Administrator UNDP', 'ED UNOPS']","Amina Mohammed, DSG, amina.mohammed@un.org;
Jorge Moreira Da Silva, USG UNOPS, jorge.moreiradasilva@unops.org;
Alexander de Croo, Administrator UNDP, alexander.de.croo@undp.org 
","['EOSG (ODSG)', 'UNDP', 'UNOPS']","Draft initial assessment analysis of the ‘as is’ with high level merger proposal, pros, cons, risk analysis for internal consultations completed",2026-01-18,Thorough assessment of selected option(s) provided to Member States and guidance given through a General Assembly decision,2026-08-30,Finalized,,Initial analysis for the assessment completed for the Secretary-General's consideration,2026-02-28,UNDP / UNOPS,WS3,,"['DSG', 'Administrator UNDP', 'ED UNOPS']",True,True,['GA'],2. Requiring further work,Further work ongoing,GA decision required.,"Sonja Leighton-Kone, ASG, UNOPS, sonjalk@unops.org;
Linda Maguire, ASG, UNDP,  linda.maguire@undp.org;
Rahul Malhotra, Director New York Office, UNOPS, rahulm@unops.org;
Fiona Bayat-Renoux, Deputy Chief of Staff, UNDP, Fiona.bayat-renoux@undp.org;
Jean-Philippe Bernardini, Senior Political Affairs Officer, EOSG, Bernardini@un.org 
",37.0,Unified support to people and planet,"We will conduct a thorough assessment of the benefits of a merger between UNDP and UNOPS, which could create a stronger engine for sustainable development in UN Country Teams, with greater scale. Initial analysis will be presented to the Executive Boards in February 2026.",,,,,,,,,
55,,22,"Align surge capacity for peace and security, rule of law, disarmament, demobilization and reintegration, security sector reform, small arms control, mission transitions, prevention of extremist violence, and counterterrorism to support regional needs. ",,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org; Elizabeth Spehar, ASG DPPA-PBSO, spehare@un.org;
Izumi Nakamitsu, USG ODA, nakamitsu@un.org;
Alexandre Zouev, USG OCT, alexandre.zouev@un.org","['DPPA', 'ODA', 'UNOCT']",Clarify meaning of this action,2026-03-30,Align surge capacities as possible,2026-12-30,Confirmation needed,Review ambition and deadline for final milestone,Concept note prepared for the Secretary-General's consideration,2026-03-30,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,,,2. Requiring further work,Further work ongoing,,"Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Awa Dabo, Director Political Affairs, awa.dabo@un.org;

ODA, OCT",68.0,Simplifying access to regional expertise,"We will consolidate expertise across all pillars at the regional level. Capacities on peace and security, rule of law, disarmament, demobilization and reintegration, security sector reform, small arms control, mission transitions, prevention of extremist violence, and counterterrorism will join Regional Integrated Platforms, ready for surge deployment. This will serve as an extension of the expertiseon-
demand mechanism outlined in the sustainable development
pillar (see paragraph 46).",,,,,,,,,
21,,2,Initiate Collaborative Humanitarian Diplomacy Initiative to bring agencies together under the coordination of the Emergency Relief Coordinator,,['USG OCHA'],"Tom Fletcher, USG OCHA, fletcher@un.org;
Filippo Grandi, HC UNHCR, grandi@unhcr.org;
Catherine Russell, ED UNICEF, crussell@unicef.org;
Cindy McCain, ED WFP, cindy.mccain@wfp.org;
Amy Pope, Director General IOM, dg@iom.int
","['OCHA', 'UNHCR', 'UNICEF', 'WFP', 'IOM']","Principals’ Humanitarian Diplomacy mechanism launched, with agreed priorities, meeting cadence, and initial crisis list identified",2026-01-30,"Collab. humanitarian diplomacy functioning system-wide with coordinated messaging, shared strategies and clear impact in priority crises",2026-08-30,Finalized,,"Initiative functioning system-wide, with joint messaging and  strategies for priority crises",2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,1. Within SG authority,Further work ongoing,,"Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org;
Fredrick Lee-Ohlsson, Director, OED-DIP, WFP, fredrick.lee-ohlsson@wfp.org;
Ted Chaiban, Deputy Executive Director, UNICEF, tchaiban@unicef.org;
Ugochi Daniels, Deputy Director General for Operations, International Organization for Migration (IOM), udaniels@iom.int;
Shahrzad Tadjbakhsh, Director, Division of International Protection, UNHCR, tadjbakh@unhcr.org
",31.0,Maximizing impact,"A Collaborative Humanitarian Diplomacy Initiative will bring agencies together under the coordination of the Emergency Relief Coordinator, piloted in a few contexts and supported by DPPA, DPO and the Office of the High Commissioner for Human rights (OHCHR).","Bring humanitarian agencies together under ERC coordination for joint access negotiations, protection diplomacy, political analysis and advocacy on priority crises.",,,,,,,,
18,,2,"Scale common services with a Global Services Hub and interoperable digital platforms to help consolidate surge rosters, logistics, security, telecoms and engineering support",,['USG OCHA'],"Tom Fletcher, USG OCHA, fletcher@un.org;
Filippo Grandi, HC UNHCR  grandi@unhcr.org;
Cindy McCain, ED WFP, 
cindy.mccain@wfp.org
","['OCHA', 'UNHCR', 'WFP']","Initial package of priority common services identified, based on existing practices (e.g. fleet, booking, engineering, connectivity, security/emergency mgmt",2026-01-30,"Priority common services expanded across several contexts with multiple agencies, with a review demonstrating clearer and more efficient shared delivery",2026-08-30,Finalized,,Priority common services expanded to cover multiple agencies and contexts,2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,2. Requiring further work,Further work ongoing,,"Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org;
Kelly Tallman Clements, Deputy High Commissioner for Refugees, UNHCR, clements@unhcr.org;
Carl Skau, Deputy Executive Director and Chief Operating Officer, World Food Programme (WFP) - carl.skau@wfp.org",29.0,Maximizing impact,"Scaling up common services – building on successes like the Booking Hub – could save tens of millions of dollars annually, meaning a greater share of resources could go directly to front-line humanitarian response. Linked to wider reforms, a Global Services Hub and interoperable digital platforms will help consolidate surge rosters, logistics, security, telecoms and engineering support, cutting overheads and speeding delivery.","Create shared platforms for logistics, security, telecoms, engineering, admin and surge rosters; reduce duplication; enable predictable, field-first support; build interoperable digital tools.",,,,,,,,
76,,18,"Launch a pooled funding review, including a review of administrative agent, secretariat, governance and support cost models, as well as partnership arrangements, to ensure pooled funding is consistently cheaper and more attractive than fragmented approaches",,"['SA Reform', 'ASG DCO']","Jens Wandel, USG EOSG, jens.wandel@un.org;
Oscar Fernandez-Taranco, ASG DCO, fernandez-taranco@un.org;
Elizabeth Spehar, ASG PBSO, spehare@un.org;
Alain Noudehou, Director MPTFO UNDP, noudehou@un.org;
Susan Brown, ASG Director of the Bureau for External Relations and Advocacy UNDP, susan.brown@undp.org;
Rania Dagash, ASG and AED for Partnerships and Resource Mobilization, WFP, rania.dagash@wfp.org;
Kitty van der Heijden, ASG and DED for Partnerships, UNICEF, kvdheijden@unicef.org
Lisa Doughten, Director Humanitarian Financing and Resource Mobilization OCHA, doughten@un.org 
","['DCO', 'UNDP', 'OCHA', 'EOSG (SA)', 'DPPA']","Analysis, mapping and categorization of all pooled funding and data.",2026-01-29,Present review report with recommendations for improving pooled fund arrangements with a view to strengthening incentives for pooled funding across all pillars.,2026-06-29,Finalized,,Review report with recommendations for how to strengthen incentives for pooled funding finalized for the Secretary-General's consideration,2026-06-29,Funding mechanisms,WS3,,"['SA Reform', 'ASG DCO']",True,,,1. Within SG authority,Further work ongoing,,"Chris Stokes, Senior Advisor, DCO, cstokes@un.org;
Fiona Bayat-Renoux, Deputy Chief of Staff, UNDP, fiona.bayat-renoux@uncdf.org;
Klaus Simioni Pederson, Chief, Resource Mobilization Branch, UNFPA, simonipedersen@unfpa.org;
Alice Sequi, Chief, Pooled Fund Branch, OCHA, sequi@un.org;
Lisa Kurbiel, Chief, Joint SDG Fund Secretariat, DCO, lisa.kurbiel@un.org
Sikander Thapa, Management Advisor, MPTFO, sikander.thapa@undp.org
Andrew Reese, Senior Advisor, UN Partnerships, UNICEF, areese@unicef.org
Romina Woldemariam, Partnerships Specialist, WFP, romina.woldemariam@wfp.org
Brian Williams, Chief, Financing for Peacebuilding Branch, PBSO, williamsbj@un.org",99.0,"Accountable, agile funding aligned with collective priorities","We will launch a pooled funding review, including a review of administrative agent, secretariat, governance and support cost models, as well as partnership arrangements.",,,,,,,,,
29,,25,Sunset UNAIDS; mainstreaming capacity and expertise into relevant entities of the UN development system,,"['DSG', 'ED UNAIDS']","Amina Mohammed, DSG, amina.mohammed@un.org;
Winnie Byanyima, ED UNAIDS, byanyimaw@unaids.org,
",['UNAIDS'],"UNAIDS Board agrees process for delivering a final plan for full transformation of UNAIDS that is aligned with UN80;  AIDS Strategy adopted
",2025-12-17,UNAIDS Board approves final transformation plan,2026-10-30,Finalized,Expanded timeline available as attachment,"Terms of reference for a Working Group to develop a plan on the further transition and integration of UNAIDS into the UN system and beyond, in coherence with the UN80 Initiative, finalized",2026-01-31,UNAIDS,WS3,,"['DSG', 'ED UNAIDS']",False,True,"['ECOSOC', 'SPECIALIZED AGENCIES']",2. Requiring further work,Further work ongoing,ECOSOC decision required. Consent of the Cosponsoring Organizations required. (Cosponsoring Organizations could require decision by their governing bodies.),"Mahesh Mahalingam, Chief of Staff, UNAIDS, maheshm@unaids.org;

Morten Ussing, Director Governance,  UNDAIS, ussingm@unaids.org;

Christine Stegling, ASG Deputy Executive Director, UNAIDS, steglingc@unaids.org",39.0,Unified support to people and planet,We plan to sunset UNAIDS by the end of 2026. This would entail mainstreaming capacity and expertise into relevant entities of the UN development system in 2027. ,,,,,,,,,
53,,23,"Begin co-locating regional disarmament centres, with Regional Commissions serving as physical hosts",,['USG ODA'],,['ODA'],,,,,No submission,,Forthcoming,,Disarmament,WS3,,['USG ODA'],False,True,['GA'],2. Requiring further work,Further work ongoing,GA decision (programme budget) is required,,67.0,Simplifying access to regional expertise,"We will begin co-locating special political missions with a regional focus, regional peace and development advisors, with Regional Commissions serving as physical hosts. DPPA and DPO regional divisions will also participate remotely",,['RB 2027'],,,,,,,
24,,2,Align agencies’ responsibilities: UNICEF/WFP/UNHCR/IOM on beneficiary data,,['USG OCHA'],"Filippo Grandi, HC UNHCR, grandi@unhcr.org;
Amy Pope, Director General IOM, dg@iom.int;
Catherine Russell, ED UNICEF, crussell@unicef.org;
Cindy McCain, ED WFP cindy.mccain@wfp.org
","['UNHCR', 'IOM', 'UNICEF', 'WFP']","Agree on shared principles for beneficiary data interoperability, including privacy-by-design, consent, proportionality, and purpose limitation; identify 1–2 priority contexts for initial interoperability application across existing agency systems (e.g. HOPE, PRIMES, SCOPE, BRAVE), based on clearly defined operational use cases",2026-01-30,"Demonstrate reduced duplication and improved service delivery in pilot contexts through secure, federated data exchange; document practical lessons learned and technical patterns to inform future scaling and policy discussions",2026-08-30,Finalized,,"Benefits of federated, standards-based beneficiary data exchange demonstrated in priority contexts to inform scale-up",2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,1. Within SG authority,Further work ongoing,,"Ryan Beech, Head of Cash Operations, WFP, Ryan.Beech@wfp.org;
Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org;

UNICEF/IOM/HCR - To Be Confirmed",32.0,Maximizing impact,"Agencies are aligning responsibilities: FAO/WFP/IFAD on food security; UNHCR/IOM on joint institutional approaches, incl. route-based programming; UNICEF/WFP/UNHCR/IOM on beneficiary data; WHO/UNICEF/WFP on health and nutrition.",Implement interoperable systems and shared protocols for beneficiary data; reduce parallel systems; ensure protection and accountability.,,,,,,,,
94,(b),31,"Implement residual actions from Phase I of the Working Group on Efficiencies, as per Rev. estimates for programme budget 2026 and support account for 25/26, not included in or relevant for WP#14",Payroll consolidation,"['USG DMSPC', 'USG DOS']","Patrick Carey; Director DOS, careyp@un.org","['DOS', 'DMSPC']",Core payroll functions for five existing payroll offices consolidated into the proposed Global Payroll Centres,2026-01-31,"Global Payroll Centre fully operational in New York, Nairobi and Entebbe",2026-10-31,Finalized,,No longer relevant,,UN Secretariat efficiencies and improvement,WS1,Payroll consolidation,"['USG DMSPC', 'USG DOS']",False,True,['GA'],3. Included in budget estimate,Decision taken,GA decision (programme budget) required.,,,,,,,"Decision taken, as per GA resolution 80/242",,,,,,
